,Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Year,Month,Week,DayOfWeek,Temperature_7d_avg,Temperature_30d_avg,Fuel_Price_7d_avg,Fuel_Price_30d_avg,CPI_7d_avg,CPI_30d_avg,Unemployment_7d_avg,Unemployment_30d_avg
0,1,2010-02-05,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,False,2010,2,5,4,42.31,42.31,2.572,2.572,211.0963582,211.0963582,8.106,8.106
1,1,2010-02-12,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,True,2010,2,6,4,40.41,40.41,2.56,2.56,211.169264,211.169264,8.106,8.106
2,1,2010-02-19,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,False,2010,2,7,4,40.25,40.25,2.5446666666666666,2.5446666666666666,211.20922363333332,211.20922363333332,8.106,8.106
3,1,2010-02-26,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,False,2010,2,8,4,41.845,41.845,2.54875,2.54875,211.23682845,211.23682845,8.106,8.106
4,1,2010-03-05,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,False,2010,3,9,4,42.775999999999996,42.775999999999996,2.564,2.564,211.25949134,211.25949134,8.106,8.106
5,1,2010-03-12,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,False,2010,3,10,4,45.278333333333336,45.278333333333336,2.581166666666667,2.581166666666667,211.27968326666667,211.27968326666667,8.106,8.106
6,1,2010-03-19,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.215635,8.106,False,2010,3,11,4,46.607142857142854,46.607142857142854,2.601,2.601,211.27053351428572,211.27053351428572,8.106,8.106
7,1,2010-03-26,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,False,2010,3,12,4,47.91285714285714,47.2125,2.623857142857143,2.617375,211.25934554285715,211.238972125,8.106,8.106
8,1,2010-04-02,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.8204499,7.808,False,2010,4,13,4,51.307142857142864,48.885555555555555,2.648285714285714,2.6286666666666667,211.19909984285712,211.19246965555556,8.06342857142857,8.07288888888889
9,1,2010-04-09,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.6228574,7.808,False,2010,4,14,4,55.011428571428574,50.583000000000006,2.684857142857143,2.6428000000000003,211.1039162,211.13550843,8.020857142857142,8.0464
10,1,2010-04-16,66.32,2.808,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,False,2010,4,15,4,57.824285714285715,52.01363636363636,2.720142857142857,2.657818181818182,210.98521007142855,211.07670766363637,7.978285714285714,8.024727272727272
11,1,2010-04-23,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,False,2010,4,16,4,60.44428571428572,53.0825,2.744428571428571,2.66925,210.85506434285713,211.02357559166668,7.935714285714285,8.006666666666666
12,1,2010-04-30,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,False,2010,4,17,4,61.81857142857143,54.184615384615384,2.7605714285714287,2.677769230769231,210.7134790142857,210.97480405384616,7.893142857142857,7.991384615384616
13,1,2010-05-07,72.55,2.835,0.0,0.0,0.0,0.0,0.0,210.3399684,7.808,False,2010,5,18,4,64.38571428571429,55.496428571428574,2.777,2.689,210.58838378571429,210.92945865000002,7.8505714285714285,7.978285714285714
14,1,2010-05-14,74.78,2.854,0.0,0.0,0.0,0.0,0.0,210.3374261,7.808,False,2010,5,19,4,67.71857142857144,56.782000000000004,2.7944285714285715,2.7,210.49115288571426,210.88998981333333,7.808,7.9669333333333325
15,1,2010-05-21,76.44,2.826,0.0,0.0,0.0,0.0,0.0,210.6170934,7.808,False,2010,5,20,4,69.74285714285715,58.010625,2.8097142857142856,2.707875,210.4621019571429,210.8729337875,7.808,7.957
16,1,2010-05-28,80.44,2.759,0.0,0.0,0.0,0.0,0.0,210.8967606,7.808,False,2010,5,21,4,71.82571428571428,59.33,2.8081428571428573,2.7108823529411765,210.50123098571427,210.87433536470587,7.808,7.948235294117647
17,1,2010-06-04,80.69,2.705,0.0,0.0,0.0,0.0,0.0,211.1764278,7.808,False,2010,6,22,4,73.87857142857142,60.516666666666666,2.793428571428571,2.7105555555555556,210.59947781428573,210.89111827777776,7.808,7.940444444444444
18,1,2010-06-11,80.43,2.668,0.0,0.0,0.0,0.0,0.0,211.4560951,7.808,False,2010,6,23,4,76.10571428571428,61.56473684210526,2.7752857142857144,2.708315789473684,210.74475957142855,210.9208539,7.808,7.933473684210526
19,1,2010-06-18,84.11,2.637,0.0,0.0,0.0,0.0,0.0,211.4537719,7.808,False,2010,6,24,4,78.49142857142859,62.69199999999999,2.754857142857143,2.7047499999999998,210.8967919,210.9474998,7.808,7.927199999999999
20,1,2010-06-25,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.3386526,7.808,False,2010,6,25,4,80.17571428571429,63.722857142857144,2.728857142857143,2.702285714285714,211.03946107142858,210.96612612380952,7.808,7.921523809523809
21,1,2010-07-02,80.91,2.669,0.0,0.0,0.0,0.0,0.0,211.2235333,7.787,False,2010,7,26,4,81.05142857142857,64.5040909090909,2.702428571428572,2.7007727272727275,211.16604781428572,210.97782644999998,7.805,7.915409090909091
